Date,Site,Combined HYAR Max Activity,Discharge (cms),Min Daily Temp (degrees C)
3/1/2022,SYC1,NA,0.161,NA
3/2/2022,SYC1,NA,0.161,NA
3/3/2022,SYC1,NA,0.166,NA
3/4/2022,SYC1,NA,0.168,NA
3/5/2022,SYC1,NA,0.172,NA
3/6/2022,SYC1,NA,0.170,NA
3/7/2022,SYC1,NA,0.175,NA
3/8/2022,SYC1,NA,0.174,NA
3/9/2022,SYC1,NA,0.177,NA
3/10/2022,SYC1,0,0.177,NA
3/11/2022,SYC1,0,0.178,NA
3/12/2022,SYC1,0,0.178,NA
3/13/2022,SYC1,0,0.184,NA
3/14/2022,SYC1,0,0.186,NA
3/15/2022,SYC1,0,0.191,NA
3/16/2022,SYC1,0,0.195,NA
3/17/2022,SYC1,0,0.195,NA
3/18/2022,SYC1,0,0.210,NA
3/19/2022,SYC1,0,0.215,NA
3/20/2022,SYC1,0,0.244,NA
3/21/2022,SYC1,0,0.253,NA
3/22/2022,SYC1,0,0.260,13.189
3/23/2022,SYC1,0,0.266,4.480
3/24/2022,SYC1,0,0.242,2.378
3/25/2022,SYC1,0,0.244,6.711
3/26/2022,SYC1,0,0.248,9.972
3/27/2022,SYC1,0,0.252,7.355
3/28/2022,SYC1,0,0.239,6.368
3/29/2022,SYC1,0,0.236,5.767
3/30/2022,SYC1,0,0.304,4.738
3/31/2022,SYC1,0,0.292,6.883
4/1/2022,SYC1,0,0.313,6.797
4/2/2022,SYC1,0,0.251,7.869
4/3/2022,SYC1,0,0.260,7.612
4/4/2022,SYC1,0,0.271,7.440
4/5/2022,SYC1,0,0.247,7.097
4/6/2022,SYC1,0,0.257,7.483
4/7/2022,SYC1,0,0.240,3.279
4/8/2022,SYC1,0,0.274,3.150
4/9/2022,SYC1,0,0.266,7.398
4/10/2022,SYC1,0,0.255,7.526
4/11/2022,SYC1,0,0.230,5.424
4/12/2022,SYC1,0,0.223,5.767
4/13/2022,SYC1,0,0.229,-0.625
4/14/2022,SYC1,0,0.226,1.820
4/15/2022,SYC1,0,0.228,4.180
4/16/2022,SYC1,0,0.234,4.352
4/17/2022,SYC1,1,0.242,5.553
4/18/2022,SYC1,0,0.252,7.998
4/19/2022,SYC1,0,0.230,10.872
4/20/2022,SYC1,0,0.235,7.226
4/21/2022,SYC1,0,0.231,5.853
4/22/2022,SYC1,0,0.225,8.770
4/23/2022,SYC1,0,0.216,5.124
4/24/2022,SYC1,0,0.219,2.421
4/25/2022,SYC1,0,0.221,1.949
4/26/2022,SYC1,0,0.210,7.827
4/27/2022,SYC1,0,0.212,6.668
4/28/2022,SYC1,0,0.207,8.727
4/29/2022,SYC1,0,0.202,6.411
4/30/2022,SYC1,0,0.202,7.998
5/1/2022,SYC1,0,0.195,8.770
5/2/2022,SYC1,0,0.192,7.483
5/3/2022,SYC1,0,0.188,7.398
5/4/2022,SYC1,0,0.193,5.810
5/5/2022,SYC1,0,0.200,8.599
5/6/2022,SYC1,0,0.190,10.057
5/7/2022,SYC1,0,0.190,9.414
5/8/2022,SYC1,0,0.190,9.242
5/9/2022,SYC1,0,0.194,11.044
5/10/2022,SYC1,0,0.196,6.497
5/11/2022,SYC1,0,0.191,6.196
5/12/2022,SYC1,0,0.197,4.437
5/13/2022,SYC1,0,0.205,8.341
5/14/2022,SYC1,0,0.197,11.945
5/15/2022,SYC1,0,0.193,13.661
5/16/2022,SYC1,0,0.193,14.004
5/17/2022,SYC1,1,0.189,12.117
5/18/2022,SYC1,0,0.193,12.503
5/19/2022,SYC1,0,0.193,13.017
5/20/2022,SYC1,0,0.184,13.961
5/21/2022,SYC1,0,0.186,12.546
5/22/2022,SYC1,0,0.182,10.615
5/23/2022,SYC1,0,0.183,12.245
5/24/2022,SYC1,0,0.176,10.529
5/25/2022,SYC1,0,0.180,12.245
5/26/2022,SYC1,0,0.184,14.605
5/27/2022,SYC1,0,0.187,15.205
5/28/2022,SYC1,0,0.171,13.747
5/29/2022,SYC1,0,0.179,12.803
5/30/2022,SYC1,0,0.180,9.714
5/31/2022,SYC1,0,0.183,9.500
6/1/2022,SYC1,0,0.178,11.688
6/2/2022,SYC1,0,0.192,12.546
6/3/2022,SYC1,0,0.205,12.374
6/4/2022,SYC1,0,0.202,12.717
6/5/2022,SYC1,0,0.209,13.833
6/6/2022,SYC1,0,0.211,15.034
6/7/2022,SYC1,0,0.226,16.793
6/8/2022,SYC1,0,0.257,18.080
6/9/2022,SYC1,0,0.244,16.364
6/10/2022,SYC1,0,0.275,19.495
6/11/2022,SYC1,0,0.279,18.852
6/12/2022,SYC1,0,0.227,19.624
6/13/2022,SYC1,0,0.184,16.407
6/14/2022,SYC1,0,0.173,13.661
6/15/2022,SYC1,0,0.201,14.090
6/16/2022,SYC1,0,0.224,15.763
6/17/2022,SYC1,0,0.172,20.311
6/18/2022,SYC1,0,0.167,18.766
6/19/2022,SYC1,0,0.195,14.862
6/20/2022,SYC1,0,0.232,12.460
6/21/2022,SYC1,0,0.243,12.932
6/22/2022,SYC1,0,0.267,20.525
6/23/2022,SYC1,NA,0.240,16.021
6/24/2022,SYC1,NA,0.250,17.522
6/25/2022,SYC1,NA,0.258,15.549
6/26/2022,SYC1,NA,0.311,15.205
6/27/2022,SYC1,NA,0.441,14.433
6/28/2022,SYC1,NA,0.350,17.951
6/29/2022,SYC1,NA,0.296,18.809
6/30/2022,SYC1,NA,0.338,18.595
7/1/2022,SYC1,NA,0.249,18.037
7/2/2022,SYC1,NA,0.220,19.453
7/3/2022,SYC1,NA,0.169,17.779
7/4/2022,SYC1,NA,0.171,16.407
7/5/2022,SYC1,NA,0.184,19.924
7/6/2022,SYC1,NA,0.197,17.608
7/7/2022,SYC1,NA,0.212,15.034
7/8/2022,SYC1,NA,0.222,18.809
7/9/2022,SYC1,NA,0.245,20.825
7/10/2022,SYC1,NA,0.297,19.495
7/11/2022,SYC1,NA,0.192,22.456
7/12/2022,SYC1,NA,0.176,20.353
7/13/2022,SYC1,NA,0.225,18.981
7/14/2022,SYC1,NA,0.195,19.538
7/15/2022,SYC1,NA,0.239,20.568
7/16/2022,SYC1,NA,0.192,21.254
7/17/2022,SYC1,NA,0.160,21.555
7/18/2022,SYC1,NA,0.193,21.512
7/19/2022,SYC1,NA,0.180,22.885
7/20/2022,SYC1,NA,0.175,22.927
7/21/2022,SYC1,NA,0.158,22.155
7/22/2022,SYC1,NA,0.145,25.073
7/23/2022,SYC1,NA,0.142,22.627
7/24/2022,SYC1,NA,0.147,20.096
7/25/2022,SYC1,NA,0.155,21.512
7/26/2022,SYC1,NA,0.146,20.825
7/27/2022,SYC1,NA,0.160,20.311
7/28/2022,SYC1,NA,0.148,19.538
7/29/2022,SYC1,NA,3.304,20.096
7/30/2022,SYC1,NA,0.184,19.796
7/31/2022,SYC1,NA,0.181,19.024
3/1/2022,MM1,NA,NA,-0.367
3/2/2022,MM1,NA,NA,1.906
3/3/2022,MM1,NA,NA,6.497
3/4/2022,MM1,NA,NA,3.193
3/5/2022,MM1,NA,NA,3.537
3/6/2022,MM1,NA,NA,-2.384
3/7/2022,MM1,NA,NA,-1.998
3/8/2022,MM1,NA,NA,-4.057
3/9/2022,MM1,NA,NA,0.147
3/10/2022,MM1,NA,NA,3.065
3/11/2022,MM1,NA,NA,-1.612
3/12/2022,MM1,NA,NA,-1.397
3/13/2022,MM1,NA,NA,3.065
3/14/2022,MM1,NA,NA,2.636
3/15/2022,MM1,0,NA,5.982
3/16/2022,MM1,0,NA,7.183
3/17/2022,MM1,0,NA,1.091
3/18/2022,MM1,0,NA,5.810
3/19/2022,MM1,0,NA,3.794
3/20/2022,MM1,0,NA,3.966
3/21/2022,MM1,0,NA,0.147
3/22/2022,MM1,0,NA,1.563
3/23/2022,MM1,0,NA,1.906
3/24/2022,MM1,0,NA,5.896
3/25/2022,MM1,0,NA,8.727
3/26/2022,MM1,0,NA,10.100
3/27/2022,MM1,0,NA,12.074
3/28/2022,MM1,0,NA,9.028
3/29/2022,MM1,0,NA,5.381
3/30/2022,MM1,0,NA,4.094
3/31/2022,MM1,0,7.140,8.041
4/1/2022,MM1,0,4.460,7.569
4/2/2022,MM1,0,3.134,9.929
4/3/2022,MM1,1,2.551,10.572
4/4/2022,MM1,0,1.403,10.401
4/5/2022,MM1,1,0.044,10.787
4/6/2022,MM1,0,0.002,10.100
4/7/2022,MM1,0,0.002,3.279
4/8/2022,MM1,3,0.001,4.695
4/9/2022,MM1,0,0.001,12.331
4/10/2022,MM1,2,0.001,9.414
4/11/2022,MM1,0,0.001,6.883
4/12/2022,MM1,0,0.001,1.992
4/13/2022,MM1,0,0.000,-1.397
4/14/2022,MM1,2,0.000,5.467
4/15/2022,MM1,2,0.000,8.084
4/16/2022,MM1,2,0.000,9.457
4/17/2022,MM1,2,0.000,10.272
4/18/2022,MM1,3,0.000,12.588
4/19/2022,MM1,3,0.000,12.932
4/20/2022,MM1,2,0.000,8.727
4/21/2022,MM1,3,0.000,11.602
4/22/2022,MM1,0,0.000,6.582
4/23/2022,MM1,0,0.000,4.137
4/24/2022,MM1,3,0.000,4.566
4/25/2022,MM1,3,0.000,3.150
4/26/2022,MM1,3,0.000,9.585
4/27/2022,MM1,3,0.000,12.889
4/28/2022,MM1,3,0.000,11.344
4/29/2022,MM1,3,0.000,10.358
4/30/2022,MM1,3,0.000,8.556
5/1/2022,MM1,0,0.000,12.588
5/2/2022,MM1,3,0.000,11.216
5/3/2022,MM1,3,0.000,10.443
5/4/2022,MM1,3,0.000,9.886
5/5/2022,MM1,3,0.000,10.186
5/6/2022,MM1,3,0.000,14.734
5/7/2022,MM1,2,0.000,15.334
5/8/2022,MM1,0,0.000,16.664
5/9/2022,MM1,2,0.000,11.216
5/10/2022,MM1,3,0.000,11.945
5/11/2022,MM1,0,0.000,11.430
5/12/2022,MM1,0,0.000,5.467
5/13/2022,MM1,0,0.000,10.915
5/14/2022,MM1,NA,0.000,13.961
5/15/2022,MM1,NA,0.000,17.436
5/16/2022,MM1,NA,0.000,17.608
5/17/2022,MM1,NA,0.000,16.793
5/18/2022,MM1,NA,0.000,17.007
5/19/2022,MM1,NA,0.000,16.964
5/20/2022,MM1,NA,0.000,12.202
5/21/2022,MM1,NA,0.000,15.205
5/22/2022,MM1,NA,0.000,15.205
5/23/2022,MM1,NA,0.000,16.278
5/24/2022,MM1,NA,0.000,12.760
5/25/2022,MM1,NA,0.000,12.117
5/26/2022,MM1,NA,0.000,19.152
5/27/2022,MM1,NA,0.000,18.766
5/28/2022,MM1,NA,0.000,17.951
5/29/2022,MM1,NA,0.000,15.248
5/30/2022,MM1,NA,0.000,12.803
5/31/2022,MM1,NA,0.000,12.803
6/1/2022,MM1,NA,0.000,16.321
6/2/2022,MM1,NA,0.000,16.793
6/3/2022,MM1,NA,0.000,17.994
6/4/2022,MM1,NA,0.000,17.436
6/5/2022,MM1,NA,0.000,18.380
6/6/2022,MM1,NA,0.000,19.324
6/7/2022,MM1,NA,0.000,20.311
6/8/2022,MM1,NA,0.000,21.555
6/9/2022,MM1,NA,0.000,22.198
6/10/2022,MM1,NA,0.000,24.129
6/11/2022,MM1,NA,0.000,23.614
6/12/2022,MM1,NA,0.000,21.812
6/13/2022,MM1,NA,0.000,19.066
6/14/2022,MM1,NA,0.000,18.509
6/15/2022,MM1,NA,0.000,19.066
6/16/2022,MM1,NA,0.000,21.555
6/17/2022,MM1,NA,0.000,22.927
6/18/2022,MM1,NA,0.000,17.608
6/19/2022,MM1,NA,0.000,15.334
6/20/2022,MM1,NA,0.000,15.677
6/21/2022,MM1,NA,0.000,18.981
6/22/2022,MM1,NA,0.000,20.782
6/23/2022,MM1,NA,0.000,17.651
6/24/2022,MM1,NA,0.000,17.737
6/25/2022,MM1,NA,0.000,19.624
6/26/2022,MM1,NA,0.000,19.495
6/27/2022,MM1,NA,0.000,17.136
6/28/2022,MM1,NA,0.000,22.155
6/29/2022,MM1,NA,0.000,23.185
6/30/2022,MM1,NA,0.000,20.182
7/1/2022,MM1,NA,0.000,21.254
7/2/2022,MM1,NA,0.000,22.112
7/3/2022,MM1,NA,0.000,22.284
7/4/2022,MM1,NA,0.000,21.340
7/5/2022,MM1,NA,0.000,23.828
7/6/2022,MM1,NA,0.000,21.083
7/7/2022,MM1,NA,0.000,20.139
7/8/2022,MM1,NA,0.000,23.013
